company_name,job_state,min_salary,max_salary,python_yn,R_yn,spark,aws,excel,data_scientist,data_engineer,senior_data_scientist,data_analyst,senior_data_engineer,min_size,max_size,min_revenue,max_revenue,private_company,public_company,nonprofit,subsidiary_or_business
"Caterpillar
", IL,63.0,99.0,0,0,0,0,0,0,0,0,0,0,10000,20000,10000.0,20000.0,0,1,0,0
"Zimmerman Advertising
", FL,68.0,114.0,1,0,0,0,1,1,0,0,0,0,501,1000,50.1,200.0,0,0,0,1
"Liberty Mutual Insurance
", MA,86.0,143.0,1,0,0,0,0,0,0,0,0,0,10000,20000,10000.0,20000.0,1,0,0,0
"Torch Technologies, Inc.
", AL,41.0,95.0,1,0,0,0,1,0,0,0,0,0,1001,5000,100.0,500.0,1,0,0,0
"Swiss Re
", NY,86.0,144.0,1,0,0,0,1,1,0,0,0,0,10000,20000,10000.0,20000.0,0,1,0,0
"Northrop Grumman
", CA,80.0,139.0,0,0,0,0,1,1,0,0,0,0,10000,20000,10000.0,20000.0,0,1,0,0
"Sartorius
", NM,56.0,95.0,1,0,0,0,1,1,0,0,0,0,5001,10000,1000.0,2000.0,0,1,0,0
"Netskope
", CA,120.0,189.0,1,0,1,0,1,1,0,0,0,0,501,1000,50.1,200.0,1,0,0,0
"1904labs
", MO,111.0,176.0,1,0,1,0,0,1,0,0,0,0,51,200,5.1,40.0,1,0,0,0
"ClearOne Advantage
", MD,54.0,93.0,0,0,0,0,1,1,0,0,0,0,501,1000,50.1,200.0,1,0,0,0
"CyrusOne
", TX,71.0,119.0,1,0,0,1,1,1,0,0,0,0,201,500,1000.0,2000.0,0,1,0,0
"The David J. Joseph Company
", OH,82.0,132.0,1,0,0,1,0,0,0,1,0,0,201,500,20.1,100.0,0,0,0,1
"USEReady
", NY,84.0,146.0,1,0,1,1,0,1,0,0,0,0,201,500,10.0,25.0,1,0,0,0
"Bill.com
", CA,107.0,172.0,0,0,0,0,0,0,0,0,0,0,501,1000,50.0,100.0,0,1,0,0
"Pacific Northwest National Laboratory
", WA,49.0,85.0,0,0,0,0,0,0,0,0,0,0,1001,5000,500.0,1000.0,0,0,0,0
"DICK'S Sporting Goods - Corporate
", PA,61.0,109.0,1,0,0,0,0,1,0,0,0,0,10000,20000,5000.0,10000.0,0,1,0,0
"Berg Health
", MA,88.0,148.0,1,0,0,0,1,1,0,0,0,0,51,200,1.0,5.0,1,0,0,0
"Oversight Systems
", GA,60.0,99.0,1,0,0,0,1,1,0,0,0,0,51,200,25.0,50.0,1,0,0,0
"C Space
", MA,41.0,72.0,1,0,0,0,0,0,0,0,0,0,201,500,100.0,500.0,0,1,0,0
"Numeric, LLC
", PA,96.0,161.0,1,0,1,1,0,1,0,0,0,0,1,50,5.0,10.0,1,0,0,0
"HP Inc.
", WA,65.0,130.0,0,0,0,0,0,0,0,0,0,0,10000,20000,1000.0,4000.0,0,1,0,0
"SpringML
", IN,52.0,81.0,1,0,0,0,0,0,0,0,0,0,1,50,0.1,10.0,1,0,0,0
"Grainger
", IL,139.0,220.0,1,0,0,0,1,0,0,0,0,0,10000,20000,10000.0,20000.0,0,1,0,0
"EAG Laboratories
", MO,50.0,102.0,0,0,0,0,1,0,0,0,0,0,501,1000,50.0,100.0,0,0,0,1
"The Buffalo Group
", VA,85.0,139.0,1,0,1,0,0,0,0,0,0,0,501,1000,100.0,500.0,1,0,0,0
"Carmeuse
", PA,74.0,122.0,1,0,0,0,0,1,0,0,0,0,1001,5000,1000.0,2000.0,1,0,0,0
"HP Inc.
", WA,99.0,157.0,0,0,1,1,0,0,0,0,0,0,10000,20000,1000.0,4000.0,0,1,0,0
"h2o.ai
", CA,79.0,222.0,1,0,1,1,1,0,0,0,0,0,201,500,20.1,100.0,1,0,0,0
"GNS Healthcare
", MA,57.0,118.0,0,0,0,1,0,0,0,0,0,0,51,200,10.0,25.0,1,0,0,0
"Peraton
", VA,83.0,137.0,1,0,0,0,1,1,0,0,0,0,1001,5000,1000.0,2000.0,1,0,0,0
"Pactera
", CA,86.0,141.0,1,0,0,0,1,1,0,0,0,0,10000,20000,500.0,1000.0,1,0,0,0
"Nurx
", CA,94.0,154.0,1,0,0,0,0,1,0,0,0,0,51,200,1.0,5.0,1,0,0,0
"webfx.com
", PA,37.0,76.0,0,0,0,0,1,0,0,0,0,0,201,500,25.0,50.0,1,0,0,0
"Johns Hopkins University Applied Physics Laboratory
", MD,100.0,160.0,1,0,0,0,1,1,0,0,0,0,5001,10000,1000.0,2000.0,0,0,1,0
"Productive Edge
", IL,55.0,100.0,0,0,0,0,1,0,0,0,1,0,51,200,10.0,25.0,1,0,0,0
